account_number,name,item_code,category,quantity,unit price,net_price,date
304860,Huel-Haag,QN-82852,Belt,2,41.4,82.8,23-09-2014 02:36
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,14-03-2014 02:28
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,13-12-2013 03:19
850140,Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,19-02-2014 06:03
115138,Gorczany-Hahn,VG-32047,Shirt,12,72.63,871.56,07-02-2014 03:30
711951,Kilback-Gerlach,AS-93055,Shirt,2,90.8,181.6,26-03-2014 20:56
676847,Hamill-Hackett,AS-93055,Shirt,6,42.96,257.76,14-11-2013 22:16
711951,Kilback-Gerlach,AS-93055,Shirt,1,71.5,71.5,14-04-2014 16:58
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,1,74.43,74.43,20-09-2014 09:49
201259,Koelpin PLC,GS-86623,Shoes,8,35.38,283.04,12-12-2013 02:37
115138,Gorczany-Hahn,QN-82852,Belt,16,24.87,397.92,20-02-2014 07:42
296809,Carroll PLC,WJ-02096,Belt,14,15.33,214.62,03-12-2013 01:25
93356,Waters-Walker,AS-93055,Shirt,12,94.34,1132.08,04-09-2014 13:39
850140,Kunze Inc,MJ-21460,Shoes,18,12.78,230.04,20-02-2014 13:18
676847,Hamill-Hackett,LL-46261,Shoes,3,28.71,86.13,02-01-2014 12:49
115138,Gorczany-Hahn,VG-32047,Shirt,11,11.21,123.31,10-12-2013 20:13
201259,Koelpin PLC,KV-99194,Shirt,4,29.79,119.16,07-11-2013 17:43
201259,Koelpin PLC,LW-86841,Shoes,11,35.82,394.02,21-06-2014 19:49
676847,Hamill-Hackett,WJ-02096,Belt,6,55.43,332.58,08-08-2014 13:50
304860,Huel-Haag,GS-86623,Shoes,4,95.75,383,15-03-2014 12:50
304860,Huel-Haag,MJ-21460,Shoes,10,12.63,126.3,05-06-2014 22:34
850140,Kunze Inc,MJ-21460,Shoes,10,26.21,262.1,21-04-2014 02:14
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,11,92.1,1013.1,21-03-2014 14:26
750461,"Volkman, Goyette and Lemke",MJ-21460,Shoes,10,98.27,982.7,02-10-2014 04:41
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,6,65.4,392.4,17-09-2014 19:15
995267,Cole-Eichmann,KV-99194,Shirt,10,23.79,237.9,17-11-2013 23:56
201259,Koelpin PLC,MJ-21460,Shoes,7,52.01,364.07,23-05-2014 17:49
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,13.06,143.66,01-03-2014 08:58
850140,Kunze Inc,GS-86623,Shoes,14,92.43,1294.02,03-08-2014 21:22
201259,Koelpin PLC,FK-71853,Shirt,14,57.69,807.66,26-05-2014 16:29
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,10,83.05,830.5,05-01-2014 10:16
98022,Heidenreich-Bosco,GS-86623,Shoes,10,26.49,264.9,12-02-2014 07:27
929400,"Senger, Upton and Breitenberg",GS-86623,Shoes,15,88.24,1323.6,09-07-2014 19:31
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,13,75.38,979.94,05-03-2014 09:26
850140,Kunze Inc,LW-86841,Shoes,16,66.61,1065.76,25-07-2014 22:56
734922,Berge LLC,GS-86623,Shoes,3,99.88,299.64,04-08-2014 23:08
995267,Cole-Eichmann,AS-93055,Shirt,7,41.75,292.25,08-07-2014 15:01
115138,Gorczany-Hahn,AS-93055,Shirt,13,22.23,288.99,13-01-2014 18:31
929400,"Senger, Upton and Breitenberg",QN-82852,Belt,18,71.38,1284.84,24-09-2014 04:14
98022,Heidenreich-Bosco,LW-86841,Shoes,9,89.82,808.38,30-11-2013 23:19
115138,Gorczany-Hahn,KV-99194,Shirt,10,85.12,851.2,17-05-2014 03:23
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,17,75.04,1275.68,09-02-2014 16:56
750461,"Volkman, Goyette and Lemke",KV-99194,Shirt,3,45.05,135.15,17-02-2014 04:26
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,16,76.77,1228.32,05-01-2014 02:40
659366,Waelchi-Fahey,VG-32047,Shirt,11,99.09,1089.99,15-07-2014 21:09
555594,"Ernser, Cruickshank and Lind",AS-93055,Shirt,3,71.25,213.75,29-09-2014 06:24
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,14,40.3,564.2,15-01-2014 18:10
659366,Waelchi-Fahey,AS-93055,Shirt,1,10.38,10.38,12-09-2014 21:26
304860,Huel-Haag,GS-86623,Shoes,8,69.32,554.56,05-08-2014 15:34
758133,"Kihn, McClure and Denesik",QN-82852,Belt,12,82.74,992.88,28-07-2014 00:55
524021,Hegmann and Sons,QN-82852,Belt,17,81.64,1387.88,29-05-2014 05:51
676847,Hamill-Hackett,LL-46261,Shoes,5,50.63,253.15,22-10-2014 11:43
850140,Kunze Inc,LW-86841,Shoes,6,81.41,488.46,11-09-2014 08:41
115138,Gorczany-Hahn,QN-82852,Belt,13,18.45,239.85,19-01-2014 21:22
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,17.36,295.12,29-01-2014 14:09
304860,Huel-Haag,AS-93055,Shirt,9,55.09,495.81,28-06-2014 22:39
995267,Cole-Eichmann,LL-46261,Shoes,3,17.54,52.62,17-01-2014 19:11
758133,"Kihn, McClure and Denesik",AS-93055,Shirt,7,82.51,577.57,13-01-2014 08:06
304860,Huel-Haag,WJ-02096,Belt,3,14.9,44.7,21-11-2013 14:28
659366,Waelchi-Fahey,FK-71853,Shirt,6,89.05,534.3,15-05-2014 02:19
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,18,57.99,1043.82,25-09-2014 06:23
201259,Koelpin PLC,VG-32047,Shirt,1,35.82,35.82,01-04-2014 11:12
734922,Berge LLC,LW-86841,Shoes,5,56,280,22-11-2013 17:45
555594,"Ernser, Cruickshank and Lind",WJ-02096,Belt,7,77.52,542.64,01-02-2014 09:30
555594,"Ernser, Cruickshank and Lind",LL-46261,Shoes,12,47.07,564.84,08-08-2014 11:08
758133,"Kihn, McClure and Denesik",KV-99194,Shirt,18,70.12,1262.16,25-10-2013 03:43
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,20,28.61,572.2,30-09-2014 19:16
115138,Gorczany-Hahn,FK-71853,Shirt,12,73.92,887.04,15-05-2014 13:22
201259,Koelpin PLC,FK-71853,Shirt,2,38.82,77.64,10-12-2013 17:54
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,14,69.26,969.64,20-01-2014 20:34
734922,Berge LLC,GS-86623,Shoes,19,28.54,542.26,26-10-2013 17:03
296809,Carroll PLC,LL-46261,Shoes,7,79.15,554.05,07-03-2014 09:38
299771,"Kuphal, Zieme and Kub",GS-86623,Shoes,20,36.19,723.8,02-07-2014 08:35
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,19,93.21,1770.99,20-04-2014 18:58
201259,Koelpin PLC,MJ-21460,Shoes,5,23.76,118.8,17-08-2014 11:00
115138,Gorczany-Hahn,FK-71853,Shirt,2,44.1,88.2,09-08-2014 18:31
115138,Gorczany-Hahn,LL-46261,Shoes,20,41.05,821,20-02-2014 07:29
305803,"Davis, Kshlerin and Reilly",LW-86841,Shoes,19,47.78,907.82,22-02-2014 13:15
711951,Kilback-Gerlach,LW-86841,Shoes,9,95.92,863.28,29-05-2014 22:08
93356,Waters-Walker,GS-86623,Shoes,4,50.1,200.4,11-08-2014 02:09
98022,Heidenreich-Bosco,WJ-02096,Belt,10,75.51,755.1,22-10-2013 23:19
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,19,64.38,1223.22,02-09-2014 21:51
524021,Hegmann and Sons,FK-71853,Shirt,12,17.42,209.04,22-01-2014 14:25
115138,Gorczany-Hahn,MJ-21460,Shoes,11,81.67,898.37,06-09-2014 11:50
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,6,74.08,444.48,28-02-2014 18:37
299771,"Kuphal, Zieme and Kub",MJ-21460,Shoes,18,25.91,466.38,12-08-2014 22:48
524021,Hegmann and Sons,LL-46261,Shoes,6,57.32,343.92,20-12-2013 12:38
750461,"Volkman, Goyette and Lemke",QN-82852,Belt,6,78.61,471.66,18-12-2013 12:13
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,5,50.85,254.25,02-08-2014 05:30
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,13,72.12,937.56,09-03-2014 14:23
299771,"Kuphal, Zieme and Kub",MJ-21460,Shoes,14,24.91,348.74,06-04-2014 19:20
555594,"Ernser, Cruickshank and Lind",MJ-21460,Shoes,9,43.25,389.25,26-04-2014 16:22
299771,"Kuphal, Zieme and Kub",QN-82852,Belt,12,66.32,795.84,19-11-2013 04:47
659366,Waelchi-Fahey,AS-93055,Shirt,2,24.3,48.6,10-11-2013 13:25
734922,Berge LLC,MJ-21460,Shoes,12,53.7,644.4,27-09-2014 02:51
201259,Koelpin PLC,LL-46261,Shoes,16,80.82,1293.12,19-08-2014 00:53
555594,"Ernser, Cruickshank and Lind",QN-82852,Belt,10,91.71,917.1,25-06-2014 19:11
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,11,16.05,176.55,26-09-2014 03:52
93356,Waters-Walker,VG-32047,Shirt,17,86.18,1465.06,13-08-2014 15:42
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,14,87.56,1225.84,27-04-2014 07:55
676847,Hamill-Hackett,GS-86623,Shoes,20,27.49,549.8,02-07-2014 12:51
93356,Waters-Walker,GS-86623,Shoes,4,73.11,292.44,21-08-2014 19:29
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,90.64,997.04,11-05-2014 06:10
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,12,72.17,866.04,15-09-2014 20:49
659366,Waelchi-Fahey,LL-46261,Shoes,9,50.76,456.84,29-08-2014 11:32
93356,Waters-Walker,FK-71853,Shirt,16,21.43,342.88,25-05-2014 00:38
93356,Waters-Walker,LL-46261,Shoes,20,21.09,421.8,23-12-2013 04:50
524021,Hegmann and Sons,VG-32047,Shirt,20,25.37,507.4,19-07-2014 17:18
676847,Hamill-Hackett,KV-99194,Shirt,20,29.59,591.8,01-01-2014 19:55
995267,Cole-Eichmann,KV-99194,Shirt,17,20.24,344.08,01-10-2014 21:20
850140,Kunze Inc,WJ-02096,Belt,13,71.35,927.55,09-06-2014 20:22
524021,Hegmann and Sons,KV-99194,Shirt,16,79.67,1274.72,25-10-2013 07:31
711951,Kilback-Gerlach,LW-86841,Shoes,2,60.75,121.5,17-05-2014 13:10
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,5,44.47,222.35,11-04-2014 05:00
93356,Waters-Walker,GS-86623,Shoes,2,86.17,172.34,12-03-2014 14:25
555594,"Ernser, Cruickshank and Lind",LW-86841,Shoes,14,54.5,763,06-10-2014 09:47
299771,"Kuphal, Zieme and Kub",AS-93055,Shirt,18,37.75,679.5,05-04-2014 20:02
299771,"Kuphal, Zieme and Kub",FK-71853,Shirt,20,32.7,654,26-04-2014 05:18
296809,Carroll PLC,MJ-21460,Shoes,15,93.06,1395.9,17-08-2014 18:39
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,17,49.59,843.03,29-10-2013 12:57
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,17,45.43,772.31,09-05-2014 06:44
711951,Kilback-Gerlach,AS-93055,Shirt,2,31.54,63.08,26-01-2014 05:15
304860,Huel-Haag,LW-86841,Shoes,6,93.02,558.12,23-11-2013 08:51
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,16,57.02,912.32,14-10-2014 14:07
711951,Kilback-Gerlach,FK-71853,Shirt,11,53.17,584.87,10-06-2014 15:11
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,12,52.51,630.12,03-08-2014 03:39
115138,Gorczany-Hahn,MJ-21460,Shoes,13,96.31,1252.03,03-12-2013 04:04
201259,Koelpin PLC,LW-86841,Shoes,16,90.97,1455.52,29-08-2014 07:41
734922,Berge LLC,KV-99194,Shirt,7,64.02,448.14,05-11-2013 03:55
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,15,18.41,276.15,02-03-2014 17:47
305803,"Davis, Kshlerin and Reilly",MJ-21460,Shoes,2,29.63,59.26,27-03-2014 23:48
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,4,46.82,187.28,15-02-2014 06:51
850140,Kunze Inc,VG-32047,Shirt,9,93.69,843.21,20-03-2014 15:25
93356,Waters-Walker,GS-86623,Shoes,15,64.11,961.65,23-10-2013 08:28
304860,Huel-Haag,LL-46261,Shoes,3,48.87,146.61,03-04-2014 22:36
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,14,87.01,1218.14,14-12-2013 16:40
929400,"Senger, Upton and Breitenberg",KV-99194,Shirt,4,17.98,71.92,22-07-2014 19:10
734922,Berge LLC,AS-93055,Shirt,10,93.77,937.7,17-08-2014 09:21
734922,Berge LLC,MJ-21460,Shoes,6,84.73,508.38,20-07-2014 18:27
711951,Kilback-Gerlach,QN-82852,Belt,11,45.49,500.39,12-11-2013 10:13
299771,"Kuphal, Zieme and Kub",LL-46261,Shoes,17,70.23,1193.91,14-08-2014 13:57
995267,Cole-Eichmann,FK-71853,Shirt,10,51.29,512.9,16-09-2014 05:26
93356,Waters-Walker,AS-93055,Shirt,16,75.48,1207.68,23-08-2014 04:04
676847,Hamill-Hackett,MJ-21460,Shoes,19,56.9,1081.1,21-10-2014 08:46
524021,Hegmann and Sons,FK-71853,Shirt,10,71.89,718.9,11-09-2014 00:45
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,10,13.02,130.2,30-06-2014 10:31
304860,Huel-Haag,MJ-21460,Shoes,3,79.49,238.47,02-06-2014 13:06
734922,Berge LLC,AS-93055,Shirt,11,81.53,896.83,01-09-2014 17:46
659366,Waelchi-Fahey,LL-46261,Shoes,1,18.68,18.68,19-05-2014 18:10
201259,Koelpin PLC,MJ-21460,Shoes,20,45.32,906.4,06-07-2014 22:06
711951,Kilback-Gerlach,AS-93055,Shirt,10,68.74,687.4,27-03-2014 12:14
750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,10,90,900,10-07-2014 22:17
995267,Cole-Eichmann,WJ-02096,Belt,6,20.3,121.8,23-05-2014 10:24
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,17,58.67,997.39,08-12-2013 13:43
659366,Waelchi-Fahey,FK-71853,Shirt,2,12.68,25.36,27-04-2014 03:38
676847,Hamill-Hackett,GS-86623,Shoes,17,49.68,844.56,28-01-2014 15:37
524021,Hegmann and Sons,MJ-21460,Shoes,2,95.37,190.74,30-03-2014 08:27
524021,Hegmann and Sons,AS-93055,Shirt,20,96.98,1939.6,13-06-2014 18:23
296809,Carroll PLC,VG-32047,Shirt,16,23.79,380.64,26-02-2014 18:22
995267,Cole-Eichmann,KV-99194,Shirt,2,37.86,75.72,04-04-2014 19:30
304860,Huel-Haag,KV-99194,Shirt,9,66.18,595.62,15-01-2014 11:55
524021,Hegmann and Sons,KV-99194,Shirt,6,98.89,593.34,22-04-2014 00:24
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,4,25.02,100.08,26-05-2014 06:54
563905,"Kerluke, Reilly and Bechtelar",WJ-02096,Belt,16,64.58,1033.28,17-12-2013 23:35
305803,"Davis, Kshlerin and Reilly",FK-71853,Shirt,18,48.7,876.6,10-02-2014 08:43
734922,Berge LLC,QN-82852,Belt,16,24.66,394.56,12-12-2013 00:57
563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,5,43.15,215.75,06-04-2014 06:24
296809,Carroll PLC,QN-82852,Belt,2,54.52,109.04,24-08-2014 09:43
929400,"Senger, Upton and Breitenberg",WJ-02096,Belt,8,91.14,729.12,11-06-2014 10:12
98022,Heidenreich-Bosco,LW-86841,Shoes,13,65.79,855.27,28-06-2014 04:47
750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,8,14.73,117.84,19-03-2014 05:18
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,14,96.18,1346.52,04-10-2014 09:49
524021,Hegmann and Sons,MJ-21460,Shoes,6,81.1,486.6,15-02-2014 15:29
98022,Heidenreich-Bosco,FK-71853,Shirt,12,38.32,459.84,25-06-2014 09:29
929400,"Senger, Upton and Breitenberg",FK-71853,Shirt,3,51.8,155.4,31-03-2014 04:17
850140,Kunze Inc,FK-71853,Shirt,13,40.29,523.77,01-09-2014 23:53
98022,Heidenreich-Bosco,KV-99194,Shirt,10,22.17,221.7,26-02-2014 06:59
711951,Kilback-Gerlach,MJ-21460,Shoes,15,43.41,651.15,09-03-2014 00:29
115138,Gorczany-Hahn,KV-99194,Shirt,11,67.32,740.52,28-02-2014 18:44
524021,Hegmann and Sons,FK-71853,Shirt,3,17.9,53.7,14-10-2014 19:22
563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,7,44.27,309.89,08-10-2014 13:05
524021,Hegmann and Sons,FK-71853,Shirt,18,51.72,930.96,14-02-2014 00:05
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,9,22.01,198.09,08-04-2014 03:17
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,10,36.38,363.8,02-01-2014 13:43
304860,Huel-Haag,FK-71853,Shirt,11,63.78,701.58,15-07-2014 23:58
201259,Koelpin PLC,MJ-21460,Shoes,10,56.51,565.1,22-09-2014 16:34
555594,"Ernser, Cruickshank and Lind",AS-93055,Shirt,2,10.47,20.94,23-04-2014 15:24
734922,Berge LLC,GS-86623,Shoes,8,21.39,171.12,12-03-2014 11:43
201259,Koelpin PLC,LL-46261,Shoes,13,26.49,344.37,09-09-2014 14:59
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,20,95.6,1912,12-10-2014 20:10
995267,Cole-Eichmann,LL-46261,Shoes,17,72.91,1239.47,26-02-2014 16:19
659366,Waelchi-Fahey,FK-71853,Shirt,15,89.45,1341.75,09-09-2014 09:21
305803,"Davis, Kshlerin and Reilly",KV-99194,Shirt,4,63.39,253.56,15-09-2014 18:49
305803,"Davis, Kshlerin and Reilly",QN-82852,Belt,15,51.64,774.6,07-09-2014 02:44
115138,Gorczany-Hahn,LW-86841,Shoes,6,72.98,437.88,15-06-2014 03:34
850140,Kunze Inc,MJ-21460,Shoes,8,63.28,506.24,21-06-2014 21:09
555594,"Ernser, Cruickshank and Lind",WJ-02096,Belt,15,63.31,949.65,23-04-2014 06:25
734922,Berge LLC,MJ-21460,Shoes,10,44.59,445.9,04-05-2014 18:52
563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,7,41.87,293.09,09-12-2013 01:15
299771,"Kuphal, Zieme and Kub",LW-86841,Shoes,4,35,140,13-04-2014 20:37
659366,Waelchi-Fahey,WJ-02096,Belt,13,68.39,889.07,27-11-2013 12:45
555594,"Ernser, Cruickshank and Lind",LL-46261,Shoes,8,82.19,657.52,19-07-2014 13:51
296809,Carroll PLC,AS-93055,Shirt,1,58.8,58.8,06-09-2014 13:00
296809,Carroll PLC,QN-82852,Belt,16,27.44,439.04,06-07-2014 13:23
296809,Carroll PLC,MJ-21460,Shoes,14,99.5,1393,07-06-2014 23:28
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,3,56.34,169.02,13-07-2014 09:41
995267,Cole-Eichmann,LW-86841,Shoes,9,83.87,754.83,28-07-2014 01:53
296809,Carroll PLC,MJ-21460,Shoes,19,56.63,1075.97,08-12-2013 02:40
711951,Kilback-Gerlach,WJ-02096,Belt,1,56.95,56.95,08-03-2014 15:50
524021,Hegmann and Sons,GS-86623,Shoes,10,31.81,318.1,18-11-2013 23:11
995267,Cole-Eichmann,QN-82852,Belt,13,40.34,524.42,08-09-2014 14:00
758133,"Kihn, McClure and Denesik",GS-86623,Shoes,10,91.59,915.9,19-03-2014 14:06
758133,"Kihn, McClure and Denesik",GS-86623,Shoes,7,95.78,670.46,16-05-2014 23:44
296809,Carroll PLC,LL-46261,Shoes,9,90.91,818.19,11-10-2014 20:37
758133,"Kihn, McClure and Denesik",AS-93055,Shirt,12,24.09,289.08,08-12-2013 06:53
711951,Kilback-Gerlach,LL-46261,Shoes,9,10.81,97.29,06-12-2013 00:59
93356,Waters-Walker,QN-82852,Belt,3,59.61,178.83,02-08-2014 13:29
201259,Koelpin PLC,WJ-02096,Belt,16,16.3,260.8,05-04-2014 02:00
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,4,23.08,92.32,13-09-2014 11:34
524021,Hegmann and Sons,MJ-21460,Shoes,18,42.01,756.18,27-11-2013 03:18
676847,Hamill-Hackett,LL-46261,Shoes,5,74.02,370.1,10-11-2013 07:30
93356,Waters-Walker,QN-82852,Belt,11,77.66,854.26,15-03-2014 17:01
98022,Heidenreich-Bosco,LL-46261,Shoes,7,14.75,103.25,14-09-2014 23:53
659366,Waelchi-Fahey,LW-86841,Shoes,16,38.75,620,20-03-2014 05:48
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,13,53.39,694.07,26-02-2014 15:03
676847,Hamill-Hackett,KV-99194,Shirt,1,55.51,55.51,15-07-2014 17:41
305803,"Davis, Kshlerin and Reilly",KV-99194,Shirt,7,16,112,05-05-2014 21:05
850140,Kunze Inc,AS-93055,Shirt,20,63.75,1275,09-02-2014 10:28
201259,Koelpin PLC,GS-86623,Shoes,15,66.78,1001.7,29-04-2014 20:36
93356,Waters-Walker,VG-32047,Shirt,2,75.16,150.32,26-11-2013 12:30
98022,Heidenreich-Bosco,MJ-21460,Shoes,14,34.8,487.2,08-03-2014 06:35
296809,Carroll PLC,QN-82852,Belt,14,14.82,207.48,06-04-2014 19:17
676847,Hamill-Hackett,VG-32047,Shirt,4,88.99,355.96,16-12-2013 01:09
711951,Kilback-Gerlach,LW-86841,Shoes,13,71.43,928.59,26-04-2014 03:39
304860,Huel-Haag,LL-46261,Shoes,6,23.37,140.22,22-10-2013 22:50
711951,Kilback-Gerlach,LL-46261,Shoes,19,30.06,571.14,28-06-2014 01:20
555594,"Ernser, Cruickshank and Lind",QN-82852,Belt,2,74.42,148.84,09-12-2013 09:10
659366,Waelchi-Fahey,QN-82852,Belt,4,38.69,154.76,14-02-2014 02:42
201259,Koelpin PLC,AS-93055,Shirt,3,16.22,48.66,11-07-2014 08:17
296809,Carroll PLC,VG-32047,Shirt,15,63.45,951.75,12-10-2014 09:08
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,19,78.34,1488.46,28-09-2014 19:20
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,9,79.63,716.67,16-02-2014 01:11
750461,"Volkman, Goyette and Lemke",LW-86841,Shoes,3,96.59,289.77,11-01-2014 05:10
524021,Hegmann and Sons,WJ-02096,Belt,20,66.27,1325.4,05-10-2014 01:36
115138,Gorczany-Hahn,AS-93055,Shirt,8,16.11,128.88,06-08-2014 01:09
850140,Kunze Inc,FK-71853,Shirt,7,76.23,533.61,06-11-2013 02:36
524021,Hegmann and Sons,LL-46261,Shoes,15,20.61,309.15,26-05-2014 03:15
995267,Cole-Eichmann,GS-86623,Shoes,6,55.05,330.3,27-12-2013 08:33
299771,"Kuphal, Zieme and Kub",LW-86841,Shoes,9,60.33,542.97,16-09-2014 13:47
929400,"Senger, Upton and Breitenberg",QN-82852,Belt,12,96.02,1152.24,06-04-2014 03:35
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,16,94.05,1504.8,13-03-2014 22:14
734922,Berge LLC,MJ-21460,Shoes,19,88.62,1683.78,29-01-2014 06:44
850140,Kunze Inc,FK-71853,Shirt,6,38.76,232.56,18-09-2014 05:56
995267,Cole-Eichmann,QN-82852,Belt,10,12.35,123.5,05-07-2014 01:51
299771,"Kuphal, Zieme and Kub",LW-86841,Shoes,3,30.77,92.31,01-03-2014 02:12
659366,Waelchi-Fahey,FK-71853,Shirt,14,23.86,334.04,30-09-2014 12:37
659366,Waelchi-Fahey,WJ-02096,Belt,3,72.43,217.29,03-10-2014 23:46
296809,Carroll PLC,VG-32047,Shirt,10,91.46,914.6,24-11-2013 08:11
850140,Kunze Inc,QN-82852,Belt,19,75.7,1438.3,15-02-2014 14:11
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,9,95.53,859.77,18-03-2014 14:35
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,15,67.57,1013.55,02-08-2014 12:03
93356,Waters-Walker,GS-86623,Shoes,3,99.42,298.26,27-01-2014 11:30
304860,Huel-Haag,MJ-21460,Shoes,9,75.62,680.58,18-12-2013 14:27
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,9,84.1,756.9,06-10-2014 21:13
93356,Waters-Walker,LL-46261,Shoes,11,78.54,863.94,28-12-2013 22:14
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,3,67.37,202.11,01-09-2014 18:40
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,15,42.96,644.4,06-04-2014 13:20
734922,Berge LLC,LL-46261,Shoes,2,62.32,124.64,12-03-2014 11:38
711951,Kilback-Gerlach,AS-93055,Shirt,7,82.95,580.65,05-08-2014 11:34
201259,Koelpin PLC,WJ-02096,Belt,14,40.79,571.06,16-01-2014 02:43
